name_canon,name_raw,births
ADHANA,ADHANA,1
ADHARA,ADHARA,18
ADHARA ERELIN,ADHARA ERELIN,1
ADHARV,ADHARV,5
ADHARVA,ADHARVA,1
ADHEERA,ADHEERA,1
ADHIRA,ADHIRA,4
ADHIRATH REDDY,ADHIRATH REDDY,1
ADHIRATHREDDY,ADHIRATHREDDY,1
ADHISHA,ADHISHA,2
ADHITHYA,ADHITHYA,1
ADHOKSH,ADHOKSH,1
ADHRIT,ADHRIT,3
ADHRITH,ADHRITH,2
ADHVAITH,ADHVAITH,2
ADHVIK,ADHVIK,5
ADHVIK REDDY,ADHVIK REDDY,1
ADHVIKA,ADHVIKA,2
ADHVIN,ADHVIN,1
ADHVY,ADHVY,1
ADHYA,ADHYA,9
ADHYAN,ADHYAN,1
ADI,ADI,3
ADIA,ADIA,2
ADIAM,ADIAM,1
ADIAN,ADIAN,2
ADIANEZ,ADIANEZ,1
ADIANNA,ADIANNA,1
ADIBULLAH,ADIBULLAH,1
ADID,ADID,1
ADIDEB,ADIDEB,1
ADIDEL,ADIDEL,1
ADIEL,ADIEL,15
ADIELINE,ADIELINE,1
ADIL,ADIL,1
ADIL AHMED,ADIL AHMED,1
ADILE,ADILE,1
ADILEIGH,ADILEIGH,1
ADILENE,ADILENE,16
ADILENY,ADILENY,1
ADILEYA,ADILEYA,1
ADILYN,ADILYN,5
ADILYNN,ADILYNN,7
ADIN,ADIN,2
ADINA,ADINA,5
ADIRA,ADIRA,12
ADISON,ADISON,4
ADISYN,ADISYN,1
ADITH,ADITH,5
ADITHI,ADITHI,5
ADITHRI,ADITHRI,1
ADITHYA,ADITHYA,6
ADITI,ADITI,12
ADITYA,ADITYA,20
ADIYIAH,ADIYIAH,1
ADJA,ADJA,1
ADLEE,ADLEE,1
ADLEIGH,ADLEIGH,2
ADLER,ADLER,6
ADLEY,ADLEY,13
ADLI,ADLI,1
ADLIE,ADLIE,1
ADLIN,ADLIN,1
ADMONISH,ADMONISH,1
ADN,ADN,1
ADNACHIEL,ADNACHIEL,1
ADNAN,ADNAN,1
ADOLFO,ADOLFO,3
ADOLYN,ADOLYN,1
ADONA,ADONA,1
ADONAI,ADONAI,5
ADONAI,ADONAÏ,1
ADONAY,ADONAY,2
ADONAYA,ADONAYA,1
ADONELLA,ADONELLA,1
ADONIA,ADONIA,1
ADONIAS,ADONIAS,1
ADONIS,ADONIS,64
ADONIS AQUILA,ADONIS AQUILA,1
ADONNIS,ADONNIS,2
ADONY,ADONY,1
ADONYS,ADONYS,2
ADORA,ADORA,2
ADORAIM,ADORAIM,1
ADORE,ADORE,3
ADOREE,ADOREE,1
ADORIAN,ADORIAN,1
ADRA,ADRA,1
ADREYN,ADREYN,1
ADRIA,ADRIA,2
ADRIADNE,ADRIADNE,1
ADRIAN,ADRIAN,262
ADRIAN,ADRIÁN,9
ADRIAN ISMAEL,ADRIAN ISMAEL,1
ADRIAN MASON,ADRIAN MASON,1
ADRIANA,ADRIANA,65
ADRIANCE,ADRIANCE,1
ADRIANNA,ADRIANNA,13
ADRIANO,ADRIANO,1
ADRIANY,ADRIANY,1
ADRIC,ADRIC,1
ADRIEANA,ADRIEANA,1
ADRIEL,ADRIEL,155
ADRIELLA,ADRIELLA,1
ADRIELLE,ADRIELLE,1
ADRIELYS,ADRIELYS,1
ADRIEN,ADRIEN,7
ADRIENE,ADRIENE,1
ADRIENNE,ADRIENNE,10
ADRIJA,ADRIJA,3
ADRIJAN,ADRIJAN,1
ADRIT,ADRIT,2
ADRITI,ADRITI,2
ADRYAN,ADRYAN,3
ADRYANA,ADRYANA,1
ADRYANNA,ADRYANNA,1
ADRYEL,ADRYEL,1
ADVA,ADVA,1
ADVAIT,ADVAIT,10
ADVAITH,ADVAITH,19
ADVAITH REDDY,ADVAITH REDDY,1
ADVAITHA,ADVAITHA,1
ADVAY,ADVAY,10
ADVI,ADVI,1
ADVIK,ADVIK,14
ADVIKA,ADVIKA,6
ADVIN,ADVIN,1
ADVIT,ADVIT,2
ADVIT RAM,ADVIT RAM,1
ADVITEYA,ADVITEYA,1
ADVITH,ADVITH,4
ADVITH KAIRAV,ADVITH KAIRAV,1
ADVITH SAI,ADVITH SAI,1
ADVITHA,ADVITHA,1
ADVITHI,ADVITHI,1
ADWAIT,ADWAIT,1
ADWIKA,ADWIKA,1
ADYA,ADYA,1
ADYAN,ADYAN,1
ADYANTH,ADYANTH,1
ADYLEE,ADYLEE,1
ADYLETH,ADYLETH,1
ADYLIA,ADYLIA,1
ADYLIN,ADYLIN,1
ADYLINE,ADYLINE,1
ADYLYN,ADYLYN,1
