year,sex,name,au_rank,tx_rank,rank_delta,au_n
2023,FEMALE,Olivia,5,2,-3,78
2023,FEMALE,Camila,6,3,-3,74
2023,FEMALE,Emily,16,13,-3,45
2023,FEMALE,Victoria,21,18,-3,38
2023,MALE,Daniel,14,11,-3,58
2024,FEMALE,Amelia,10,7,-3,56
2024,MALE,Santiago,7,4,-3,76
2024,MALE,Ethan,17,14,-3,61
2024,MALE,Benjamin,19,16,-3,60
2024,MALE,Thiago,37,34,-3,46
2017,FEMALE,Camila,11,7,-4,56
2017,MALE,Ethan,13,9,-4,65
2017,MALE,Julian,22,18,-4,55
2018,FEMALE,Elena,35,31,-4,30
2019,FEMALE,Camila,9,5,-4,65
2019,FEMALE,Ava,11,7,-4,55
2019,MALE,Joseph,42,38,-4,40
2020,FEMALE,Emily,20,16,-4,40
2020,FEMALE,Elena,30,26,-4,32
2021,FEMALE,Ellie,30,26,-4,33
2021,FEMALE,Aurora,34,30,-4,30
2021,MALE,Elijah,7,3,-4,70
2021,MALE,Oliver,11,7,-4,63
2021,MALE,Jayden,26,22,-4,47
2022,FEMALE,Amelia,11,7,-4,58
2022,MALE,Aiden,27,23,-4,48
2024,FEMALE,Avery,35,31,-4,35
2017,MALE,Liam,7,2,-5,74
2017,MALE,Aaron,31,26,-5,49
2017,MALE,Jonathan,53,48,-5,38
2018,FEMALE,Ava,12,7,-5,53
2018,FEMALE,Genesis,25,20,-5,35
2018,FEMALE,Grace,35,30,-5,30
2019,FEMALE,Emma,6,1,-5,71
2019,MALE,Sebastian,10,5,-5,68
2019,MALE,Samuel,28,23,-5,46
2020,FEMALE,Sophia,11,6,-5,58
2020,MALE,Levi,23,18,-5,47
2022,MALE,Ezra,22,17,-5,53
2022,MALE,David,25,20,-5,50
2023,FEMALE,Genesis,28,23,-5,35
2023,MALE,Carlos,64,59,-5,31
2024,MALE,Lucas,16,11,-5,62
2024,MALE,Michael,30,25,-5,49
2024,MALE,Roman,75,70,-5,30
2017,MALE,Sebastian,9,3,-6,70
2017,MALE,Elijah,11,5,-6,66
2017,MALE,Gabriel,44,38,-6,42
2018,FEMALE,Isabella,8,2,-6,60
2018,FEMALE,Harper,25,19,-6,35
2018,MALE,Sebastian,9,3,-6,62
2019,MALE,Josiah,33,27,-6,43
2020,FEMALE,Elizabeth,23,17,-6,37
2020,FEMALE,Layla,30,24,-6,32
2021,FEMALE,Amelia,14,8,-6,50
2021,FEMALE,Abigail,22,16,-6,40
2021,MALE,Daniel,14,8,-6,60
2021,MALE,Lucas,23,17,-6,50
2022,MALE,Santiago,11,5,-6,66
2023,MALE,Julian,19,13,-6,55
2024,FEMALE,Hazel,43,37,-6,33
2024,MALE,Isaac,39,33,-6,45
2024,MALE,Gabriel,42,36,-6,41
2017,FEMALE,Sofia,15,8,-7,51
2017,FEMALE,Mila,35,28,-7,30
2017,MALE,Mateo,11,4,-7,66
2019,MALE,Nathan,58,51,-7,33
2020,MALE,Nathan,54,47,-7,33
2020,MALE,Axel,62,55,-7,30
2022,FEMALE,Ava,17,10,-7,54
2022,MALE,Michael,40,33,-7,40
2023,MALE,Santiago,11,4,-7,60
2023,MALE,Michael,39,32,-7,40
2023,MALE,Nathan,53,46,-7,34
2023,MALE,Damian,64,57,-7,31
2024,MALE,Juan,57,50,-7,33
2017,MALE,Caleb,58,50,-8,35
2017,MALE,Diego,66,58,-8,30
2018,FEMALE,Abigail,20,12,-8,41
2018,FEMALE,Madison,35,27,-8,30
2018,MALE,Carter,62,54,-8,32
2019,FEMALE,Elena,35,27,-8,30
2020,FEMALE,Victoria,23,15,-8,37
2020,MALE,Daniel,15,7,-8,57
2020,MALE,Christian,57,49,-8,31
2021,MALE,Aaron,55,47,-8,34
2022,MALE,Leonardo,40,32,-8,40
2022,MALE,Isaac,51,43,-8,34
2023,MALE,Elijah,14,6,-8,58
2023,MALE,Leonardo,43,35,-8,38
2024,FEMALE,Delilah,47,39,-8,30
